assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
