Battery,battery_definition,Form,Level,assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
C,Complete/Core,E,7,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,6,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,5,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,14,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,13,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,12,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,11,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,10,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,9,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,8,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,7,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,6,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,5,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,16,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,15,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,14,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,13,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,12,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,11,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,10,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,9,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,8,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,7,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,6,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,F,5,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,16,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,15,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,14,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,13,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,12,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,11,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,10,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,9,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,8,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,E,7,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
